pincode,service_area_code,service_area_name,state,city
208008,ENUPKNP,Kanpur,Uttar Pradesh,Kanpur
208009,ENUPKNP,Kanpur,Uttar Pradesh,Kanpur
208016,ENUPKNP,Kanpur,Uttar Pradesh,Kanpur
208019,ENUPKNP,Kanpur,Uttar Pradesh,Kanpur
208023,ENUPKNP,Kanpur,Uttar Pradesh,Kanpur
208026,ENUPKNP,Kanpur,Uttar Pradesh,Kanpur
209112,ENUPKNP,Kanpur,Uttar Pradesh,Kanpur
209115,ENUPKNP,Kanpur,Uttar Pradesh,Kanpur
209121,ENUPKNP,Kanpur,Uttar Pradesh,Kanpur
209125,ENUPKNP,Kanpur,Uttar Pradesh,Kanpur
209204,ENUPKNP,Kanpur,Uttar Pradesh,Kanpur
209205,ENUPKNP,Kanpur,Uttar Pradesh,Kanpur
209208,ENUPKNP,Kanpur,Uttar Pradesh,Kanpur
209214,ENUPKNP,Kanpur,Uttar Pradesh,Kanpur
209217,ENUPKNP,Kanpur,Uttar Pradesh,Kanpur
209301,ENUPKNP,Kanpur,Uttar Pradesh,Kanpur
209303,ENUPKNP,Kanpur,Uttar Pradesh,Kanpur
209305,ENUPKNP,Kanpur,Uttar Pradesh,Kanpur
209308,ENUPKNP,Kanpur,Uttar Pradesh,Kanpur
209310,ENUPKNP,Kanpur,Uttar Pradesh,Kanpur
209311,ENUPKNP,Kanpur,Uttar Pradesh,Kanpur
209312,ENUPKNP,Kanpur,Uttar Pradesh,Kanpur
209401,ENUPKNP,Kanpur,Uttar Pradesh,Kanpur
209621,ENUPALG,Aligarh,Uttar Pradesh,Aligarh
209825,ENUPKNP,Kanpur,Uttar Pradesh,Kanpur
209831,ENUPKNP,Kanpur,Uttar Pradesh,Kanpur
209841,ENUPKNP,Kanpur,Uttar Pradesh,Kanpur
209859,ENUPKNP,Kanpur,Uttar Pradesh,Kanpur
209860,ENUPKNP,Kanpur,Uttar Pradesh,Kanpur
209862,ENUPKNP,Kanpur,Uttar Pradesh,Kanpur
209863,ENUPKNP,Kanpur,Uttar Pradesh,Kanpur
209864,ENUPKNP,Kanpur,Uttar Pradesh,Kanpur
209865,ENUPKNP,Kanpur,Uttar Pradesh,Kanpur
209866,ENUPKNP,Kanpur,Uttar Pradesh,Kanpur
209867,ENUPKNP,Kanpur,Uttar Pradesh,Kanpur
209868,ENUPKNP,Kanpur,Uttar Pradesh,Kanpur
209869,ENUPKNP,Kanpur,Uttar Pradesh,Kanpur
209870,ENUPKNP,Kanpur,Uttar Pradesh,Kanpur
209871,ENUPKNP,Kanpur,Uttar Pradesh,Kanpur
221004,ENUPVNS,Varanasi,Uttar Pradesh,Varanasi
221009,ENUPVNS,Varanasi,Uttar Pradesh,Varanasi
221012,ENUPVNS,Varanasi,Uttar Pradesh,Varanasi
221107,ENUPVNS,Varanasi,Uttar Pradesh,Varanasi
221109,ENUPVNS,Varanasi,Uttar Pradesh,Varanasi
221110,ENUPVNS,Varanasi,Uttar Pradesh,Varanasi
221111,ENUPVNS,Varanasi,Uttar Pradesh,Varanasi
221112,ENUPVNS,Varanasi,Uttar Pradesh,Varanasi
221115,ENUPVNS,Varanasi,Uttar Pradesh,Varanasi
221116,ENUPVNS,Varanasi,Uttar Pradesh,Varanasi
221201,ENUPVNS,Varanasi,Uttar Pradesh,Varanasi
221204,ENUPVNS,Varanasi,Uttar Pradesh,Varanasi
221206,ENUPVNS,Varanasi,Uttar Pradesh,Varanasi
221207,ENUPVNS,Varanasi,Uttar Pradesh,Varanasi
221301,ENUPVNS,Varanasi,Uttar Pradesh,Varanasi
221305,ENUPVNS,Varanasi,Uttar Pradesh,Varanasi
221306,ENUPVNS,Varanasi,Uttar Pradesh,Varanasi
221308,ENUPVNS,Varanasi,Uttar Pradesh,Varanasi
221309,ENUPVNS,Varanasi,Uttar Pradesh,Varanasi
221310,ENUPVNS,Varanasi,Uttar Pradesh,Varanasi
221314,ENUPVNS,Varanasi,Uttar Pradesh,Varanasi
221402,ENUPVNS,Varanasi,Uttar Pradesh,Varanasi
221403,ENUPVNS,Varanasi,Uttar Pradesh,Varanasi
221405,ENUPVNS,Varanasi,Uttar Pradesh,Varanasi
221406,ENUPVNS,Varanasi,Uttar Pradesh,Varanasi
221409,ENUPVNS,Varanasi,Uttar Pradesh,Varanasi
229010,ENUPBRL,Bareilly,Uttar Pradesh,Bareilly
229103,ENUPBRL,Bareilly,Uttar Pradesh,Bareilly
229120,ENUPBRL,Bareilly,Uttar Pradesh,Bareilly
229121,ENUPBRL,Bareilly,Uttar Pradesh,Bareilly
229122,ENUPBRL,Bareilly,Uttar Pradesh,Bareilly
229123,ENUPBRL,Bareilly,Uttar Pradesh,Bareilly
229124,ENUPBRL,Bareilly,Uttar Pradesh,Bareilly
229125,ENUPBRL,Bareilly,Uttar Pradesh,Bareilly
229126,ENUPBRL,Bareilly,Uttar Pradesh,Bareilly
229127,ENUPBRL,Bareilly,Uttar Pradesh,Bareilly
229128,ENUPBRL,Bareilly,Uttar Pradesh,Bareilly
229129,ENUPBRL,Bareilly,Uttar Pradesh,Bareilly
229130,ENUPBRL,Bareilly,Uttar Pradesh,Bareilly
229135,ENUPBRL,Bareilly,Uttar Pradesh,Bareilly
229201,ENUPBRL,Bareilly,Uttar Pradesh,Bareilly
229202,ENUPBRL,Bareilly,Uttar Pradesh,Bareilly
229203,ENUPBRL,Bareilly,Uttar Pradesh,Bareilly
229204,ENUPBRL,Bareilly,Uttar Pradesh,Bareilly
229205,ENUPBRL,Bareilly,Uttar Pradesh,Bareilly
229207,ENUPBRL,Bareilly,Uttar Pradesh,Bareilly
229208,ENUPBRL,Bareilly,Uttar Pradesh,Bareilly
229209,ENUPBRL,Bareilly,Uttar Pradesh,Bareilly
229210,ENUPBRL,Bareilly,Uttar Pradesh,Bareilly
229211,ENUPBRL,Bareilly,Uttar Pradesh,Bareilly
229212,ENUPBRL,Bareilly,Uttar Pradesh,Bareilly
229215,ENUPBRL,Bareilly,Uttar Pradesh,Bareilly
229216,ENUPBRL,Bareilly,Uttar Pradesh,Bareilly
229302,ENUPBRL,Bareilly,Uttar Pradesh,Bareilly
229303,ENUPBRL,Bareilly,Uttar Pradesh,Bareilly
229304,ENUPBRL,Bareilly,Uttar Pradesh,Bareilly
229305,ENUPBRL,Bareilly,Uttar Pradesh,Bareilly
229306,ENUPBRL,Bareilly,Uttar Pradesh,Bareilly
229307,ENUPBRL,Bareilly,Uttar Pradesh,Bareilly
229308,ENUPBRL,Bareilly,Uttar Pradesh,Bareilly
229309,ENUPBRL,Bareilly,Uttar Pradesh,Bareilly
229310,ENUPBRL,Bareilly,Uttar Pradesh,Bareilly
229316,ENUPBRL,Bareilly,Uttar Pradesh,Bareilly
229401,ENUPBRL,Bareilly,Uttar Pradesh,Bareilly
229402,ENUPBRL,Bareilly,Uttar Pradesh,Bareilly
229404,ENUPBRL,Bareilly,Uttar Pradesh,Bareilly
229405,ENUPBRL,Bareilly,Uttar Pradesh,Bareilly
229406,ENUPBRL,Bareilly,Uttar Pradesh,Bareilly
229801,ENUPBRL,Bareilly,Uttar Pradesh,Bareilly
229802,ENUPBRL,Bareilly,Uttar Pradesh,Bareilly
232106,ENUPVNS,Varanasi,Uttar Pradesh,Varanasi
232107,ENUPVNS,Varanasi,Uttar Pradesh,Varanasi
232108,ENUPVNS,Varanasi,Uttar Pradesh,Varanasi
232109,ENUPVNS,Varanasi,Uttar Pradesh,Varanasi
232110,ENUPVNS,Varanasi,Uttar Pradesh,Varanasi
232111,ENUPVNS,Varanasi,Uttar Pradesh,Varanasi
232114,ENUPVNS,Varanasi,Uttar Pradesh,Varanasi
232118,ENUPVNS,Varanasi,Uttar Pradesh,Varanasi
232120,ENUPVNS,Varanasi,Uttar Pradesh,Varanasi
232340,ENUPDEO,Deoria,Uttar Pradesh,Kushi Nagar
283103,ENUPFRB,Firozabad,Uttar Pradesh,Firozabad
283205,ENUPFRB,Firozabad,Uttar Pradesh,Firozabad
306114,ENRJGNG,Ganga Nagar,Rajasthan,Ganganagar
331021,ENRJGNG,Ganga Nagar,Rajasthan,Ganganagar
335021,ENRJGNG,Ganga Nagar,Rajasthan,Ganganagar
335022,ENRJGNG,Ganga Nagar,Rajasthan,Ganganagar
335025,ENRJGNG,Ganga Nagar,Rajasthan,Ganganagar
335038,ENRJGNG,Ganga Nagar,Rajasthan,Ganganagar
335040,ENRJGNG,Ganga Nagar,Rajasthan,Ganganagar
335042,ENRJGNG,Ganga Nagar,Rajasthan,Ganganagar
335061,ENRJGNG,Ganga Nagar,Rajasthan,Ganganagar
335064,ENRJGNG,Ganga Nagar,Rajasthan,Ganganagar
335502,ENRJGNG,Ganga Nagar,Rajasthan,Ganganagar
335521,ENRJGNG,Ganga Nagar,Rajasthan,Ganganagar
335522,ENRJGNG,Ganga Nagar,Rajasthan,Ganganagar
335708,ENRJGNG,Ganga Nagar,Rajasthan,Ganganagar
335711,ENRJGNG,Ganga Nagar,Rajasthan,Ganganagar
335801,ENRJGNG,Ganga Nagar,Rajasthan,Ganganagar
335901,ENRJGNG,Ganga Nagar,Rajasthan,Ganganagar
343039,ENRJALW,Alwar,Rajasthan,Alwar
360470,EWGJRKT,Rajkot,Gujarat,Rajkot
370601,EWGJSRN,Surendra Nagar,Gujarat,Surendra Nagar
382042,EWGJSRN,Surendra Nagar,Gujarat,Surendra Nagar
389130,EWGJDHD,Dahod,Gujarat,Dohad
389172,EWGJDHD,Dahod,Gujarat,Dohad
391750,EWGJSRN,Surendra Nagar,Gujarat,Surendra Nagar
